UNIQUEID,QUANTITYORDERED,PRICEEACH,SALES,DEALSIZE
1016,23,$100.00 ,"$3,187.80 ",Medium
3463,36,$100.00 ,"$5,544.00 ",Medium
4285,25,$80.54 ,"$2,013.50 ",Small
5205,37,$72.76 ,"$2,692.12 ",Small
4827,23,$53.33 ,"$1,226.59 ",Small
1470,20,$100.00 ,"$2,144.60 ",Small
5373,25,$100.00 ,"$2,759.75 ",Small
4664,20,$77.05 ,"$1,541.00 ",Small
1753,30,$100.00 ,"$3,148.20 ",Medium
2296,48,$91.44 ,"$4,389.12 ",Medium
1137,45,$51.21 ,"$2,304.45 ",Small
2362,29,$100.00 ,"$5,176.50 ",Medium
5896,27,$69.62 ,"$1,879.74 ",Small
3412,38,$100.00 ,"$4,299.70 ",Medium
5136,48,$100.00 ,"$7,209.12 ",Large
2339,39,$100.00 ,"$3,912.09 ",Medium
1144,37,$27.22 ,"$1,007.14 ",Small
5079,43,$36.29 ,"$1,560.47 ",Small
2896,37,$38.98 ,"$1,442.26 ",Small
4839,21,$100.00 ,"$4,860.24 ",Medium
5678,31,$100.00 ,"$3,329.09 ",Medium
1567,48,$69.96 ,"$3,358.08 ",Medium
2822,40,$100.00 ,"$4,900.80 ",Medium
2591,43,$100.00 ,"$4,991.44 ",Medium
1196,42,$91.55 ,"$3,845.10 ",Medium
5072,21,$100.00 ,"$3,536.82 ",Medium
5974,49,$100.00 ,"$6,563.06 ",Medium
4517,36,$99.17 ,"$3,570.12 ",Medium
5195,43,$100.00 ,"$6,930.74 ",Medium
5623,26,$73.73 ,"$1,916.98 ",Small
2107,45,$100.00 ,"$5,012.55 ",Medium
2794,25,$53.83 ,"$1,345.75 ",Small
5042,24,$100.00 ,"$2,634.96 ",Small
4308,49,$54.94 ,"$2,692.06 ",Small
2257,29,$100.00 ,"$3,013.97 ",Medium
1340,39,$81.93 ,"$3,195.27 ",Medium
3484,44,$100.00 ,"$8,594.52 ",Large
3761,34,$100.00 ,"$4,880.02 ",Medium
4119,27,$100.00 ,"$5,559.03 ",Medium
1084,48,$100.00 ,"$6,825.60 ",Medium
3928,29,$100.00 ,"$5,032.95 ",Medium
2071,46,$100.00 ,"$5,984.14 ",Medium
3821,31,$71.10 ,"$2,204.10 ",Small
1762,47,$100.00 ,"$8,754.69 ",Large
2229,50,$100.00 ,"$5,344.50 ",Medium
1434,28,$100.00 ,"$3,337.60 ",Medium
1089,25,$69.36 ,"$1,734.00 ",Small
2890,32,$100.00 ,"$4,661.76 ",Medium
4630,27,$31.82 ,$859.14 ,Small
3243,24,$99.36 ,"$2,384.64 ",Small
5772,48,$45.99 ,"$2,207.52 ",Small
1014,44,$53.44 ,"$2,351.36 ",Small
4166,48,$94.92 ,"$4,556.16 ",Medium
3800,38,$66.78 ,"$2,537.64 ",Small
2307,44,$100.00 ,"$5,924.16 ",Medium
5773,43,$100.00 ,"$5,763.72 ",Medium
1508,46,$73.12 ,"$3,363.52 ",Medium
5696,34,$100.00 ,"$3,599.58 ",Medium
2262,33,$100.00 ,"$3,812.16 ",Medium
3323,21,$69.88 ,"$1,467.48 ",Small
2805,20,$79.66 ,"$1,593.20 ",Small
1782,32,$63.12 ,"$2,019.84 ",Small
5563,29,$83.86 ,"$2,431.94 ",Small
3613,43,$75.34 ,"$3,239.62 ",Medium
5347,29,$100.00 ,"$2,940.02 ",Small
4912,46,$70.11 ,"$3,225.06 ",Medium
5030,24,$100.00 ,"$2,812.80 ",Small
4351,28,$100.00 ,"$3,003.00 ",Medium
4611,40,$41.71 ,"$1,668.40 ",Small
5966,38,$48.59 ,"$1,846.42 ",Small
3467,36,$96.66 ,"$3,479.76 ",Medium
5437,27,$100.00 ,"$3,660.93 ",Medium
3671,20,$100.00 ,"$4,183.00 ",Medium
4369,21,$70.96 ,"$1,490.16 ",Small
3483,46,$61.18 ,"$2,814.28 ",Small
3532,50,$100.00 ,"$5,747.50 ",Medium
5689,49,$100.00 ,"$6,433.70 ",Medium
3142,29,$75.41 ,"$2,186.89 ",Small
1504,27,$73.02 ,"$1,971.54 ",Small
4845,48,$78.25 ,"$3,756.00 ",Medium
5302,28,$100.00 ,"$3,244.36 ",Medium
4012,31,$73.61 ,"$2,281.91 ",Small
1806,48,$51.93 ,"$2,492.64 ",Small
5267,28,$98.65 ,"$2,762.20 ",Small
2051,31,$100.00 ,"$3,431.39 ",Medium
4299,36,$100.00 ,"$4,527.72 ",Medium
2100,48,$96.00 ,"$4,608.00 ",Medium
1599,39,$82.91 ,"$3,233.49 ",Medium
3217,30,$100.00 ,"$5,019.90 ",Medium
4033,35,$100.00 ,"$4,639.25 ",Medium
3088,47,$100.00 ,"$5,464.69 ",Medium
5034,36,$63.84 ,"$2,298.24 ",Small
3344,41,$100.00 ,"$4,391.10 ",Medium
5746,20,$63.14 ,"$1,262.80 ",Small
3750,32,$70.76 ,"$2,264.32 ",Small
2758,36,$100.00 ,"$4,444.92 ",Medium
4378,38,$68.39 ,"$2,598.82 ",Small
4913,33,$100.00 ,"$4,910.40 ",Medium
3368,38,$74.11 ,"$2,816.18 ",Small
4563,34,$50.21 ,"$1,707.14 ",Small
3937,34,$100.00 ,"$3,819.56 ",Medium
5750,24,$94.58 ,"$2,269.92 ",Small
1477,26,$39.83 ,"$1,035.58 ",Small
2150,34,$100.00 ,"$3,920.88 ",Medium
3291,48,$80.55 ,"$3,866.40 ",Medium
4886,35,$100.00 ,"$4,508.00 ",Medium
3062,43,$100.00 ,"$5,036.16 ",Medium
2578,48,$44.21 ,"$2,122.08 ",Small
3319,42,$100.00 ,"$4,965.24 ",Medium
5721,24,$100.00 ,"$3,508.80 ",Medium
4160,35,$100.00 ,"$4,680.20 ",Medium
3612,26,$57.51 ,"$1,495.26 ",Small
1368,31,$100.00 ,"$4,492.83 ",Medium
3912,22,$100.00 ,"$3,452.68 ",Medium
2861,39,$100.00 ,"$6,023.16 ",Medium
3890,28,$53.72 ,"$1,504.16 ",Small
2020,31,$89.01 ,"$2,759.31 ",Small
2871,39,$100.00 ,"$5,481.45 ",Medium
3459,29,$95.24 ,"$2,761.96 ",Small
2595,48,$100.00 ,"$5,493.12 ",Medium
2819,21,$75.46 ,"$1,584.66 ",Small
5658,39,$71.98 ,"$2,807.22 ",Small
2969,32,$75.69 ,"$2,422.08 ",Small
1648,34,$42.76 ,"$1,453.84 ",Small
3693,31,$31.53 ,$977.43 ,Small
4935,27,$41.22 ,"$1,112.94 ",Small
4579,22,$74.51 ,"$1,639.22 ",Small
3051,23,$100.00 ,"$2,728.03 ",Small
1369,36,$35.49 ,"$1,277.64 ",Small
2916,24,$81.33 ,"$1,951.92 ",Small
5838,22,$98.51 ,"$2,167.22 ",Small
1839,35,$33.23 ,"$1,163.05 ",Small
3624,22,$100.00 ,"$2,571.14 ",Small
3471,34,$100.00 ,"$8,014.82 ",Large
5488,33,$100.00 ,"$5,362.83 ",Medium
3683,33,$100.00 ,"$7,474.50 ",Large
4763,43,$100.00 ,"$6,817.22 ",Medium
3421,47,$100.00 ,"$8,378.69 ",Large
1256,50,$100.00 ,"$7,872.50 ",Large
2548,26,$100.00 ,"$3,543.28 ",Medium
3936,48,$93.34 ,"$4,480.32 ",Medium
3590,20,$100.00 ,"$3,667.60 ",Medium
5671,48,$100.00 ,"$5,891.04 ",Medium
3002,41,$69.28 ,"$2,840.48 ",Small
1276,46,$100.00 ,"$5,592.22 ",Medium
4258,29,$100.00 ,"$4,419.89 ",Medium
3405,36,$100.00 ,"$5,532.12 ",Medium
3728,47,$100.00 ,"$5,121.59 ",Medium
4897,49,$44.78 ,"$2,194.22 ",Small
2234,27,$68.78 ,"$1,857.06 ",Small
2153,28,$100.00 ,"$2,969.96 ",Small
1077,37,$31.12 ,"$1,151.44 ",Small
5210,29,$100.00 ,"$2,915.66 ",Small
5604,22,$100.00 ,"$2,436.72 ",Small
1572,50,$63.31 ,"$3,165.50 ",Medium
3456,22,$64.00 ,"$1,408.00 ",Small
4529,29,$74.98 ,"$2,174.42 ",Small
5234,23,$100.00 ,"$3,114.89 ",Medium
5452,38,$64.44 ,"$2,448.72 ",Small
2817,42,$85.98 ,"$3,611.16 ",Medium
4503,23,$100.00 ,"$3,675.63 ",Medium
3448,29,$100.00 ,"$3,070.52 ",Medium
2772,35,$74.60 ,"$2,611.00 ",Small
2585,50,$100.00 ,"$6,083.00 ",Medium
1048,45,$72.58 ,"$3,266.10 ",Medium
3514,24,$76.00 ,"$1,824.00 ",Small
3297,31,$88.34 ,"$2,738.54 ",Small
1789,32,$76.62 ,"$2,451.84 ",Small
1176,44,$92.16 ,"$4,055.04 ",Medium
4944,24,$100.00 ,"$2,526.48 ",Small
3229,40,$50.23 ,"$2,009.20 ",Small
5316,24,$100.00 ,"$3,492.48 ",Medium
3440,42,$100.00 ,"$6,490.68 ",Medium
3501,41,$81.72 ,"$3,350.52 ",Medium
2496,48,$100.00 ,"$5,386.56 ",Medium
2924,34,$80.84 ,"$2,748.56 ",Small
1175,27,$73.64 ,"$1,988.28 ",Small
4966,21,$72.12 ,"$1,514.52 ",Small
1026,30,$72.33 ,"$2,169.90 ",Small
5129,34,$96.86 ,"$3,293.24 ",Medium
1117,22,$87.75 ,"$1,930.50 ",Small
2014,45,$76.25 ,"$3,431.25 ",Medium
4726,45,$51.15 ,"$2,301.75 ",Small
5077,29,$86.13 ,"$2,497.77 ",Small
3585,42,$100.00 ,"$4,695.60 ",Medium
3903,41,$100.00 ,"$8,892.90 ",Large
5330,40,$100.00 ,"$6,747.60 ",Medium
2635,25,$64.20 ,"$1,605.00 ",Small
3841,21,$50.36 ,"$1,057.56 ",Small
1638,44,$100.00 ,"$5,565.12 ",Medium
1444,48,$100.00 ,"$5,355.36 ",Medium
1562,28,$68.55 ,"$1,919.40 ",Small
2686,35,$72.03 ,"$2,521.05 ",Small
2936,28,$71.14 ,"$1,991.92 ",Small
5789,34,$45.46 ,"$1,545.64 ",Small
4854,22,$100.00 ,"$2,514.60 ",Small
2065,21,$93.56 ,"$1,964.76 ",Small
1468,27,$100.00 ,"$5,411.07 ",Medium
1387,28,$100.00 ,"$2,860.76 ",Small
3342,20,$81.40 ,"$1,628.00 ",Small
5627,36,$100.00 ,"$4,477.32 ",Medium
1731,44,$100.00 ,"$5,418.16 ",Medium
2294,25,$87.33 ,"$2,183.25 ",Small
3577,32,$54.45 ,"$1,742.40 ",Small
3349,42,$100.00 ,"$5,435.64 ",Medium
4134,44,$100.00 ,"$7,554.80 ",Large
4981,22,$73.92 ,"$1,626.24 ",Small
5954,21,$100.00 ,"$3,286.08 ",Medium
2630,38,$61.15 ,"$2,323.70 ",Small
4708,20,$100.00 ,"$2,212.00 ",Small
1759,21,$100.00 ,"$3,047.73 ",Medium
3333,27,$100.00 ,"$3,884.76 ",Medium
1011,45,$100.00 ,"$6,324.75 ",Medium
3621,30,$82.82 ,"$2,484.60 ",Small
1429,33,$86.31 ,"$2,848.23 ",Small
3664,22,$100.00 ,"$3,395.48 ",Medium
4054,39,$100.00 ,"$5,785.26 ",Medium
2950,36,$100.00 ,"$3,942.72 ",Medium
2226,44,$69.84 ,"$3,072.96 ",Medium
3967,47,$74.22 ,"$3,488.34 ",Medium
1228,34,$53.83 ,"$1,830.22 ",Small
3851,39,$36.84 ,"$1,436.76 ",Small
5757,31,$36.74 ,"$1,138.94 ",Small
2096,36,$73.60 ,"$2,649.60 ",Small
4222,20,$100.00 ,"$2,395.80 ",Small
2246,37,$42.67 ,"$1,578.79 ",Small
1296,33,$94.17 ,"$3,107.61 ",Medium
4301,23,$65.52 ,"$1,506.96 ",Small
1706,49,$100.00 ,"$6,244.07 ",Medium
2510,25,$100.00 ,"$3,861.75 ",Medium
1951,23,$42.26 ,$971.98 ,Small
4701,23,$100.00 ,"$5,372.57 ",Medium
4252,28,$100.00 ,"$3,433.36 ",Medium
1235,41,$100.00 ,"$6,163.94 ",Medium
1257,21,$96.84 ,"$2,033.64 ",Small
3232,37,$89.15 ,"$3,298.55 ",Medium
1393,39,$68.08 ,"$2,655.12 ",Small
5971,22,$100.00 ,"$2,488.20 ",Small
3024,21,$100.00 ,"$2,441.04 ",Small
3091,40,$49.30 ,"$1,972.00 ",Small
2212,47,$100.00 ,"$5,035.11 ",Medium
4789,49,$64.64 ,"$3,167.36 ",Medium
3594,23,$86.99 ,"$2,000.77 ",Small
3352,26,$100.00 ,"$3,854.24 ",Medium
4577,21,$100.00 ,"$3,883.74 ",Medium
1316,33,$100.00 ,"$4,038.21 ",Medium
2795,43,$100.00 ,"$7,886.20 ",Large
3877,37,$100.00 ,"$4,516.22 ",Medium
2606,32,$100.00 ,"$6,004.80 ",Medium
4890,46,$100.00 ,"$7,381.16 ",Large
4447,46,$100.00 ,"$5,984.14 ",Medium
4322,44,$60.16 ,"$2,647.04 ",Small
3600,32,$89.46 ,"$2,862.72 ",Small
1796,28,$100.00 ,"$3,442.04 ",Medium
5150,28,$100.00 ,"$4,409.72 ",Medium
4878,49,$80.67 ,"$3,952.83 ",Medium
5656,46,$100.00 ,"$4,918.78 ",Medium
5490,39,$100.00 ,"$5,096.91 ",Medium
2461,47,$77.24 ,"$3,630.28 ",Medium
2006,31,$60.11 ,"$1,863.41 ",Small
3770,30,$100.00 ,"$3,170.70 ",Medium
5793,24,$100.00 ,"$3,496.32 ",Medium
3929,42,$31.82 ,"$1,336.44 ",Small
4201,22,$69.20 ,"$1,522.40 ",Small
2159,33,$74.35 ,"$2,453.55 ",Small
4318,21,$69.04 ,"$1,449.84 ",Small
2446,36,$85.54 ,"$3,079.44 ",Medium
5592,49,$100.00 ,"$5,795.72 ",Medium
1825,46,$100.00 ,"$4,607.36 ",Medium
4956,33,$62.77 ,"$2,071.41 ",Small
2855,48,$50.95 ,"$2,445.60 ",Small
4242,45,$100.00 ,"$4,948.20 ",Medium
2258,20,$48.62 ,$972.40 ,Small
4141,21,$54.00 ,"$1,134.00 ",Small
2360,30,$94.40 ,"$2,832.00 ",Small
5228,24,$99.57 ,"$2,389.68 ",Small
5659,39,$57.82 ,"$2,254.98 ",Small
4848,37,$100.00 ,"$3,891.66 ",Medium
3712,22,$79.45 ,"$1,747.90 ",Small
3727,28,$52.14 ,"$1,459.92 ",Small
5178,28,$64.43 ,"$1,804.04 ",Small
2971,48,$100.00 ,"$5,512.32 ",Medium
3784,38,$96.34 ,"$3,660.92 ",Medium
2878,45,$100.00 ,"$8,714.70 ",Large
4802,28,$100.00 ,"$4,512.48 ",Medium
4357,32,$65.42 ,"$2,093.44 ",Small
2286,25,$100.00 ,"$2,535.75 ",Small
5311,40,$91.40 ,"$3,656.00 ",Medium
4787,44,$98.89 ,"$4,351.16 ",Medium
4706,29,$100.00 ,"$3,957.05 ",Medium
4625,42,$76.19 ,"$3,199.98 ",Medium
2560,46,$32.99 ,"$1,517.54 ",Small
5450,42,$85.72 ,"$3,600.24 ",Medium
4028,40,$66.72 ,"$2,668.80 ",Small
3472,21,$100.00 ,"$3,840.90 ",Medium
2885,40,$100.00 ,"$5,590.00 ",Medium
4805,30,$64.64 ,"$1,939.20 ",Small
4501,27,$100.00 ,"$3,544.56 ",Medium
4533,22,$100.00 ,"$3,300.66 ",Medium
5940,29,$100.00 ,"$4,258.36 ",Medium
4568,45,$90.86 ,"$4,088.70 ",Medium
2867,47,$100.00 ,"$7,421.30 ",Large
3007,38,$100.00 ,"$4,965.84 ",Medium
5346,26,$100.00 ,"$3,918.46 ",Medium
1224,36,$94.88 ,"$3,415.68 ",Medium
1765,23,$100.00 ,"$3,414.58 ",Medium
1625,45,$100.00 ,"$5,340.60 ",Medium
1659,43,$72.74 ,"$3,127.82 ",Medium
1968,32,$100.00 ,"$4,237.76 ",Medium
1271,37,$69.82 ,"$2,583.34 ",Small
3844,47,$53.83 ,"$2,530.01 ",Small
4862,46,$83.60 ,"$3,845.60 ",Medium
2110,23,$100.00 ,"$3,052.33 ",Medium
1832,30,$30.59 ,$917.70 ,Small
5253,32,$72.77 ,"$2,328.64 ",Small
5646,48,$60.01 ,"$2,880.48 ",Small
4267,46,$100.00 ,"$5,566.00 ",Medium
5263,45,$100.00 ,"$6,319.35 ",Medium
2373,44,$66.29 ,"$2,916.76 ",Small
5950,28,$100.00 ,"$3,106.88 ",Medium
3798,46,$53.37 ,"$2,455.02 ",Small
4288,21,$100.00 ,"$3,141.60 ",Medium
4589,42,$59.33 ,"$2,491.86 ",Small
4063,44,$100.00 ,"$4,642.88 ",Medium
5786,22,$100.00 ,"$3,675.32 ",Medium
5422,28,$93.21 ,"$2,609.88 ",Small
5061,24,$51.84 ,"$1,244.16 ",Small
1157,23,$100.00 ,"$2,769.89 ",Small
5047,32,$79.37 ,"$2,539.84 ",Small
1790,24,$97.55 ,"$2,341.20 ",Small
2175,25,$76.26 ,"$1,906.50 ",Small
2483,26,$29.21 ,$759.46 ,Small
3629,20,$50.62 ,"$1,012.40 ",Small
3913,22,$41.03 ,$902.66 ,Small
2235,20,$100.00 ,"$2,279.00 ",Small
3713,42,$100.00 ,"$7,290.36 ",Large
2346,26,$100.00 ,"$4,263.74 ",Medium
5256,38,$100.00 ,"$4,933.92 ",Medium
4800,49,$100.00 ,"$6,445.46 ",Medium
4248,21,$93.34 ,"$1,960.14 ",Small
4910,27,$100.00 ,"$5,128.11 ",Medium
2675,35,$100.00 ,"$3,608.15 ",Medium
1922,45,$70.49 ,"$3,172.05 ",Medium
5713,50,$100.00 ,"$7,620.50 ",Large
2249,32,$100.00 ,"$4,262.08 ",Medium
4934,41,$44.78 ,"$1,835.98 ",Small
4259,44,$66.47 ,"$2,924.68 ",Small
5369,49,$100.00 ,"$5,760.93 ",Medium
2521,32,$28.29 ,$905.28 ,Small
2076,34,$100.00 ,"$3,699.88 ",Medium
3149,37,$97.27 ,"$3,598.99 ",Medium
5752,32,$43.29 ,"$1,385.28 ",Small
3037,33,$54.68 ,"$1,804.44 ",Small
3972,39,$54.94 ,"$2,142.66 ",Small
2399,49,$100.00 ,"$5,161.17 ",Medium
4811,26,$89.01 ,"$2,314.26 ",Small
1944,45,$100.00 ,"$5,324.40 ",Medium
2696,47,$100.00 ,"$8,887.70 ",Large
5187,24,$100.00 ,"$3,807.12 ",Medium
2204,38,$100.00 ,"$7,232.16 ",Large
4066,46,$87.74 ,"$4,036.04 ",Medium
5257,49,$100.00 ,"$6,893.81 ",Medium
3935,35,$100.00 ,"$3,564.75 ",Medium
5322,22,$100.00 ,"$2,538.80 ",Small
5231,27,$100.00 ,"$4,537.08 ",Medium
4442,50,$100.00 ,"$5,090.50 ",Medium
4725,41,$100.00 ,"$4,534.60 ",Medium
3945,47,$83.20 ,"$3,910.40 ",Medium
5953,22,$86.38 ,"$1,900.36 ",Small
1532,46,$62.09 ,"$2,856.14 ",Small
1163,23,$64.67 ,"$1,487.41 ",Small
3753,50,$94.40 ,"$4,720.00 ",Medium
3222,24,$90.52 ,"$2,172.48 ",Small
5013,50,$78.79 ,"$3,939.50 ",Medium
2958,27,$92.16 ,"$2,488.32 ",Small
3598,35,$93.35 ,"$3,267.25 ",Medium
5547,29,$41.71 ,"$1,209.59 ",Small
1298,42,$50.23 ,"$2,109.66 ",Small
3985,42,$100.00 ,"$7,483.98 ",Large
5885,48,$67.82 ,"$3,255.36 ",Medium
5586,27,$71.67 ,"$1,935.09 ",Small
3576,43,$66.19 ,"$2,846.17 ",Small
2384,42,$100.00 ,"$4,774.56 ",Medium
2858,40,$63.67 ,"$2,546.80 ",Small
3101,22,$98.57 ,"$2,168.54 ",Small
5987,24,$100.00 ,"$3,025.92 ",Medium
4283,49,$100.00 ,"$8,065.89 ",Large
2745,25,$100.00 ,"$4,029.00 ",Medium
5334,30,$64.81 ,"$1,944.30 ",Small
5029,39,$100.00 ,"$4,351.23 ",Medium
3508,25,$73.88 ,"$1,847.00 ",Small
5877,29,$38.40 ,"$1,113.60 ",Small
1928,48,$83.12 ,"$3,989.76 ",Medium
4454,38,$82.40 ,"$3,131.20 ",Medium
2476,20,$100.00 ,"$3,930.40 ",Medium
2658,20,$100.00 ,"$2,254.80 ",Small
3888,44,$82.99 ,"$3,651.56 ",Medium
4856,47,$100.00 ,"$5,195.85 ",Medium
1691,42,$100.00 ,"$6,182.40 ",Medium
2893,40,$100.00 ,"$4,032.00 ",Medium
5895,33,$100.00 ,"$5,890.50 ",Medium
5368,45,$85.47 ,"$3,846.15 ",Medium
1059,38,$100.00 ,"$6,432.64 ",Medium
1321,23,$71.44 ,"$1,643.12 ",Small
3197,26,$100.00 ,"$3,206.32 ",Medium
5152,27,$100.00 ,"$4,169.88 ",Medium
2828,48,$100.00 ,"$8,291.04 ",Large
1623,33,$86.04 ,"$2,839.32 ",Small
3181,32,$100.00 ,"$5,127.04 ",Medium
1035,35,$100.00 ,"$5,735.80 ",Medium
4294,29,$85.59 ,"$2,482.11 ",Small
2310,45,$76.26 ,"$3,431.70 ",Medium
2906,20,$62.47 ,"$1,249.40 ",Small
2804,45,$49.81 ,"$2,241.45 ",Small
2908,47,$96.32 ,"$4,527.04 ",Medium
2273,42,$100.00 ,"$4,242.00 ",Medium
3183,21,$37.00 ,$777.00 ,Small
4089,40,$79.62 ,"$3,184.80 ",Medium
5075,34,$64.90 ,"$2,206.60 ",Small
1602,48,$91.02 ,"$4,368.96 ",Medium
2228,47,$100.00 ,"$6,996.42 ",Medium
2203,39,$33.23 ,"$1,295.97 ",Small
4443,36,$100.00 ,"$3,735.72 ",Medium
4144,48,$63.61 ,"$3,053.28 ",Medium
4567,40,$100.00 ,"$7,492.40 ",Large
4125,32,$37.17 ,"$1,189.44 ",Small
3673,24,$38.08 ,$913.92 ,Small
4933,47,$100.00 ,"$9,064.89 ",Large
5171,28,$100.00 ,"$4,056.36 ",Medium
2391,34,$100.00 ,"$3,966.78 ",Medium
5705,37,$90.17 ,"$3,336.29 ",Medium
1032,28,$67.46 ,"$1,888.88 ",Small
5829,30,$100.00 ,"$3,581.40 ",Medium
2661,28,$87.30 ,"$2,444.40 ",Small
1039,21,$53.33 ,"$1,119.93 ",Small
1827,33,$97.39 ,"$3,213.87 ",Medium
4325,36,$58.82 ,"$2,117.52 ",Small
3956,33,$100.00 ,"$3,871.89 ",Medium
4081,31,$100.00 ,"$4,076.19 ",Medium
1805,34,$99.54 ,"$3,384.36 ",Medium
2016,44,$100.00 ,"$7,060.24 ",Large
4775,43,$100.00 ,"$5,752.54 ",Medium
3862,37,$69.89 ,"$2,585.93 ",Small
5637,25,$100.00 ,"$3,937.25 ",Medium
2342,40,$100.00 ,"$6,146.80 ",Medium
5668,47,$100.00 ,"$6,658.02 ",Medium
2334,49,$46.82 ,"$2,294.18 ",Small
3034,46,$100.00 ,"$6,819.04 ",Medium
4008,42,$29.70 ,"$1,247.40 ",Small
2702,28,$100.00 ,"$2,980.60 ",Small
1755,49,$80.90 ,"$3,964.10 ",Medium
3982,27,$60.06 ,"$1,621.62 ",Small
1501,45,$56.55 ,"$2,544.75 ",Small
4847,28,$94.92 ,"$2,657.76 ",Small
4359,46,$100.00 ,"$8,602.92 ",Large
2444,26,$100.00 ,"$3,142.36 ",Medium
1670,20,$100.00 ,"$3,114.40 ",Medium
4614,24,$100.00 ,"$2,622.48 ",Small
1214,48,$100.00 ,"$5,614.56 ",Medium
3516,45,$87.77 ,"$3,949.65 ",Medium
4430,35,$100.00 ,"$4,301.15 ",Medium
1579,20,$89.40 ,"$1,788.00 ",Small
2440,30,$65.61 ,"$1,968.30 ",Small
4385,38,$74.67 ,"$2,837.46 ",Small
3976,40,$80.55 ,"$3,222.00 ",Medium
1449,46,$74.45 ,"$3,424.70 ",Medium
3763,37,$100.00 ,"$4,447.40 ",Medium
1797,33,$85.41 ,"$2,818.53 ",Small
5572,42,$63.88 ,"$2,682.96 ",Small
4535,39,$100.00 ,"$5,197.92 ",Medium
1657,28,$100.00 ,"$2,817.92 ",Small
4486,20,$100.00 ,"$2,498.60 ",Small
5165,43,$82.21 ,"$3,535.03 ",Medium
5893,36,$77.59 ,"$2,793.24 ",Small
1919,22,$89.73 ,"$1,974.06 ",Small
3981,33,$88.71 ,"$2,927.43 ",Small
2075,48,$44.69 ,"$2,145.12 ",Small
4315,23,$100.00 ,"$3,009.09 ",Medium
1900,34,$100.00 ,"$6,123.40 ",Medium
4450,31,$100.00 ,"$5,719.50 ",Medium
3122,50,$76.88 ,"$3,844.00 ",Medium
1234,40,$49.67 ,"$1,986.80 ",Small
4626,27,$98.48 ,"$2,658.96 ",Small
5832,30,$61.70 ,"$1,851.00 ",Small
1373,29,$69.60 ,"$2,018.40 ",Small
2128,40,$71.00 ,"$2,840.00 ",Small
2141,46,$79.91 ,"$3,675.86 ",Medium
4215,39,$59.16 ,"$2,307.24 ",Small
1034,43,$41.02 ,"$1,763.86 ",Small
5842,21,$78.55 ,"$1,649.55 ",Small
2098,26,$99.72 ,"$2,592.72 ",Small
1122,25,$100.00 ,"$2,818.00 ",Small
5115,31,$86.40 ,"$2,678.40 ",Small
2547,42,$70.33 ,"$2,953.86 ",Small
2000,41,$100.00 ,"$4,708.44 ",Medium
5729,41,$100.00 ,"$7,498.90 ",Large
2265,36,$100.00 ,"$4,771.80 ",Medium
5291,28,$92.57 ,"$2,591.96 ",Small
4849,35,$78.00 ,"$2,730.00 ",Small
4446,28,$100.00 ,"$3,745.28 ",Medium
5177,46,$54.09 ,"$2,488.14 ",Small
5414,41,$100.00 ,"$5,673.58 ",Medium
2957,25,$90.16 ,"$2,254.00 ",Small
4209,21,$63.72 ,"$1,338.12 ",Small
4677,48,$48.98 ,"$2,351.04 ",Small
2413,22,$92.16 ,"$2,027.52 ",Small
5717,41,$42.24 ,"$1,731.84 ",Small
1287,37,$100.00 ,"$4,040.03 ",Medium
3173,40,$80.55 ,"$3,222.00 ",Medium
1876,39,$100.00 ,"$4,946.76 ",Medium
1717,33,$100.00 ,"$4,180.44 ",Medium
3011,29,$100.00 ,"$4,186.73 ",Medium
1135,38,$100.00 ,"$4,492.36 ",Medium
3216,20,$66.99 ,"$1,339.80 ",Small
2532,41,$100.00 ,"$4,840.87 ",Medium
3171,40,$100.00 ,"$4,910.40 ",Medium
2587,40,$100.00 ,"$5,554.40 ",Medium
5517,45,$100.00 ,"$6,357.60 ",Medium
4090,41,$82.31 ,"$3,374.71 ",Medium
3685,45,$53.33 ,"$2,399.85 ",Small
1151,45,$88.14 ,"$3,966.30 ",Medium
5680,34,$43.42 ,"$1,476.28 ",Small
1102,27,$79.62 ,"$2,149.74 ",Small
1167,46,$87.81 ,"$4,039.26 ",Medium
4017,49,$100.00 ,"$6,949.67 ",Medium
3226,38,$94.79 ,"$3,602.02 ",Medium
1266,25,$83.39 ,"$2,084.75 ",Small
3410,27,$100.00 ,"$2,790.45 ",Small
1943,30,$100.00 ,"$5,967.00 ",Medium
1679,21,$62.96 ,"$1,322.16 ",Small
1645,27,$100.00 ,"$3,604.23 ",Medium
2887,50,$100.00 ,"$9,534.50 ",Large
1819,20,$34.19 ,$683.80 ,Small
2797,49,$47.94 ,"$2,349.06 ",Small
3526,44,$34.88 ,"$1,534.72 ",Small
1619,35,$100.00 ,"$6,075.30 ",Medium
3986,46,$100.00 ,"$5,152.00 ",Medium
3617,27,$89.38 ,"$2,413.26 ",Small
3578,33,$43.13 ,"$1,423.29 ",Small
2976,49,$100.00 ,"$5,510.05 ",Medium
4421,31,$58.71 ,"$1,820.01 ",Small
3284,49,$100.00 ,"$5,285.14 ",Medium
5190,41,$100.00 ,"$4,555.92 ",Medium
4731,46,$45.28 ,"$2,082.88 ",Small
4994,39,$90.57 ,"$3,532.23 ",Medium
5527,43,$100.00 ,"$5,759.42 ",Medium
1023,48,$100.00 ,"$7,020.48 ",Large
5583,35,$61.38 ,"$2,148.30 ",Small
